									
									
									
									
									
									
									
									
									
			Arizona	Phoenix	33.4484	-112.074			#VALUE!
			California	Los Angeles	34.0522	-118.2437			
			Illinois	Chicago	41.8781	-87.6298			
			New York	New York City	40.7128	-74.006			
			Pennsylvania	Philadelphia	39.9526	-75.1652			
			Texas	Houston	29.7604	-95.3698			
			Texas	San Antonio	29.4241	-98.4936			
			San Diego	California	32.7157	-117.1611			
			Dallas	Texas	32.7767	-96.797			
			San Jose	California	37.3541	-121.9552			
			Austin	Texas	30.2672	-97.7431			
			Jacksonville	Florida	30.3322	-81.6557			
			San Francisco	California	37.7749	-122.4194			
			Columbus	Ohio	39.9612	-82.9988			
			Indianapolis	Indiana	39.7684	-86.1581			
			Seattle	Washington	47.6062	-122.3321			
			Denver	Colorado	39.7392	-104.9903			
			Washington	D.C.	38.8951	-77.0369			
			Boston	Massachusetts	42.3601	-71.0589			
			Nashville	Tennessee	36.1627	-86.7816			
